meta_id,post_id,meta_key,meta_value
215,72,_wp_attachment_metadata,"a:6:{s:5:""width"";i:500;s:6:""height"";i:500;s:4:""file"";s:15:""2024/05/6-1.png"";s:8:""filesize"";i:23619;s:5:""sizes"";a:5:{s:6:""medium"";a:5:{s:4:""file"";s:15:""6-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:13921;}s:9:""thumbnail"";a:5:{s:4:""file"";s:15:""6-1-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:5006;}s:21:""woocommerce_thumbnail"";a:6:{s:4:""file"";s:15:""6-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:13921;s:9:""uncropped"";b:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:15:""6-1-100x100.png"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:2662;}s:29:""woocommerce_thumbnail_preview"";a:5:{s:4:""file"";s:15:""6-1-300x225.png"";s:5:""width"";i:300;s:6:""height"";i:225;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:13863;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
216,70,_thumbnail_id,72
217,70,_regular_price,39
218,73,_edit_last,1
219,73,_edit_lock,1715067761:1
220,74,_wp_attached_file,2024/05/9-1.png
221,74,_wp_attachment_metadata,"a:6:{s:5:""width"";i:500;s:6:""height"";i:500;s:4:""file"";s:15:""2024/05/9-1.png"";s:8:""filesize"";i:11179;s:5:""sizes"";a:5:{s:6:""medium"";a:5:{s:4:""file"";s:15:""9-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:6180;}s:9:""thumbnail"";a:5:{s:4:""file"";s:15:""9-1-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:2490;}s:21:""woocommerce_thumbnail"";a:6:{s:4:""file"";s:15:""9-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:6180;s:9:""uncropped"";b:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:15:""9-1-100x100.png"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:1473;}s:29:""woocommerce_thumbnail_preview"";a:5:{s:4:""file"";s:15:""9-1-300x225.png"";s:5:""width"";i:300;s:6:""height"";i:225;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:5911;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
222,73,total_sales,0
223,73,_tax_status,taxable
224,73,_tax_class,
225,73,_manage_stock,no
226,73,_backorders,no
227,73,_sold_individually,no
228,73,_virtual,no
229,73,_downloadable,no
230,73,_download_limit,-1
231,73,_download_expiry,-1
232,73,_stock,
233,73,_stock_status,instock
234,73,_wc_average_rating,0
235,73,_wc_review_count,0
236,73,_product_attributes,"a:1:{s:7:""storlek"";a:6:{s:4:""name"";s:7:""storlek"";s:5:""value"";s:4:""400g"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:0;}}"
237,73,_product_version,8.8.2
238,75,_variation_description,
239,75,total_sales,0
240,75,_tax_status,taxable
241,75,_tax_class,parent
242,75,_manage_stock,no
243,75,_backorders,no
244,75,_sold_individually,no
245,75,_virtual,no
246,75,_downloadable,no
247,75,_download_limit,-1
248,75,_download_expiry,-1
249,75,_stock,
250,75,_stock_status,instock
251,75,_wc_average_rating,0
252,75,_wc_review_count,0
253,75,attribute_storlek,400g
254,75,_product_version,8.8.2
255,75,_regular_price,39
256,75,_thumbnail_id,0
257,75,_price,39
258,73,_price,39
259,73,_thumbnail_id,74
269,60,_price,269
270,60,_price,559
271,60,_price,799
272,76,_edit_last,1
273,76,_edit_lock,1715068320:1
274,77,_wp_attached_file,2024/05/10-1.png
275,77,_wp_attachment_metadata,"a:6:{s:5:""width"";i:500;s:6:""height"";i:500;s:4:""file"";s:16:""2024/05/10-1.png"";s:8:""filesize"";i:24520;s:5:""sizes"";a:5:{s:6:""medium"";a:5:{s:4:""file"";s:16:""10-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:13306;}s:9:""thumbnail"";a:5:{s:4:""file"";s:16:""10-1-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:5076;}s:21:""woocommerce_thumbnail"";a:6:{s:4:""file"";s:16:""10-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:13306;s:9:""uncropped"";b:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:16:""10-1-100x100.png"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:2906;}s:29:""woocommerce_thumbnail_preview"";a:5:{s:4:""file"";s:16:""10-1-300x225.png"";s:5:""width"";i:300;s:6:""height"";i:225;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:13068;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
276,76,total_sales,0
277,76,_tax_status,taxable
278,76,_tax_class,
279,76,_manage_stock,no
280,76,_backorders,no
281,76,_sold_individually,no
282,76,_virtual,no
283,76,_downloadable,no
284,76,_download_limit,-1
285,76,_download_expiry,-1
286,76,_stock,
287,76,_stock_status,instock
288,76,_wc_average_rating,0
289,76,_wc_review_count,0
290,76,_product_attributes,"a:1:{s:7:""storlek"";a:6:{s:4:""name"";s:7:""storlek"";s:5:""value"";s:9:""3kg | 8kg"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:0;}}"
291,76,_product_version,8.8.2
292,78,_variation_description,
293,78,total_sales,0
294,78,_tax_status,taxable
295,78,_tax_class,parent
296,78,_manage_stock,no
297,78,_backorders,no
298,78,_sold_individually,no
299,78,_virtual,no
300,78,_downloadable,no
301,78,_download_limit,-1
302,78,_download_expiry,-1
303,78,_stock,
304,78,_stock_status,instock
305,78,_wc_average_rating,0
306,78,_wc_review_count,0
307,78,attribute_storlek,3kg
308,78,_product_version,8.8.2
309,79,_variation_description,
310,79,total_sales,0
311,79,_tax_status,taxable
312,79,_tax_class,parent
313,79,_manage_stock,no
314,79,_backorders,no
315,79,_sold_individually,no
316,79,_virtual,no
317,79,_downloadable,no
318,79,_download_limit,-1
319,79,_download_expiry,-1
320,79,_stock,
321,79,_stock_status,instock
322,79,_wc_average_rating,0
323,79,_wc_review_count,0
324,79,attribute_storlek,8kg
325,79,_product_version,8.8.2
326,78,_regular_price,569
327,78,_thumbnail_id,0
328,78,_price,569
329,79,_regular_price,1039
330,79,_thumbnail_id,0
331,79,_price,1039
332,76,_price,569
333,76,_price,1039
334,76,_thumbnail_id,77
335,81,_edit_last,1
336,81,_edit_lock,1715068600:1
337,81,total_sales,0
338,81,_tax_status,taxable
339,81,_tax_class,
340,81,_manage_stock,no
341,81,_backorders,no
342,81,_sold_individually,no
343,81,_virtual,no
344,81,_downloadable,no
345,81,_download_limit,-1
346,81,_download_expiry,-1
347,81,_stock,
348,81,_stock_status,instock
349,81,_wc_average_rating,0
350,81,_wc_review_count,0
351,81,_product_attributes,"a:1:{s:7:""storlek"";a:6:{s:4:""name"";s:7:""storlek"";s:5:""value"";s:16:""2kg | 6kg | 12kg"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:0;}}"
352,81,_product_version,8.8.2
353,82,_variation_description,
354,82,total_sales,0
355,82,_tax_status,taxable
356,82,_tax_class,parent
357,82,_manage_stock,no
358,82,_backorders,no
359,82,_sold_individually,no
360,82,_virtual,no
361,82,_downloadable,no
362,82,_download_limit,-1
363,82,_download_expiry,-1
364,82,_stock,
365,82,_stock_status,instock
366,82,_wc_average_rating,0
367,82,_wc_review_count,0
368,82,attribute_storlek,2kg
369,82,_product_version,8.8.2
370,83,_variation_description,
371,83,total_sales,0
372,83,_tax_status,taxable
373,83,_tax_class,parent
374,83,_manage_stock,no
375,83,_backorders,no
376,83,_sold_individually,no
377,83,_virtual,no
378,83,_downloadable,no
379,83,_download_limit,-1
380,83,_download_expiry,-1
381,83,_stock,
382,83,_stock_status,instock
383,83,_wc_average_rating,0
384,83,_wc_review_count,0
385,83,attribute_storlek,6kg
386,83,_product_version,8.8.2
387,84,_variation_description,
388,84,total_sales,0
389,84,_tax_status,taxable
390,84,_tax_class,parent
391,84,_manage_stock,no
392,84,_backorders,no
393,84,_sold_individually,no
394,84,_virtual,no
395,84,_downloadable,no
396,84,_download_limit,-1
397,84,_download_expiry,-1
398,84,_stock,
399,84,_stock_status,instock
400,84,_wc_average_rating,0
401,84,_wc_review_count,0
402,84,attribute_storlek,12kg
403,84,_product_version,8.8.2
404,82,_regular_price,259
405,82,_thumbnail_id,0
406,82,_price,259
407,83,_regular_price,479
408,83,_thumbnail_id,0
409,83,_price,479
410,84,_regular_price,799
411,84,_thumbnail_id,0
412,84,_price,799
413,81,_price,259
414,81,_price,479
415,81,_price,799
416,85,_wp_attached_file,2024/05/8-1.png
417,85,_wp_attachment_metadata,"a:6:{s:5:""width"";i:500;s:6:""height"";i:500;s:4:""file"";s:15:""2024/05/8-1.png"";s:8:""filesize"";i:19006;s:5:""sizes"";a:4:{s:6:""medium"";a:5:{s:4:""file"";s:15:""8-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:9696;}s:9:""thumbnail"";a:5:{s:4:""file"";s:15:""8-1-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:3700;}s:21:""woocommerce_thumbnail"";a:6:{s:4:""file"";s:15:""8-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:9696;s:9:""uncropped"";b:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:15:""8-1-100x100.png"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:2112;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
418,81,_thumbnail_id,85
419,86,_edit_last,1
420,86,_edit_lock,1715072378:1
421,86,total_sales,0
422,86,_tax_status,taxable
423,86,_tax_class,
424,86,_manage_stock,no
425,86,_backorders,no
426,86,_sold_individually,no
427,86,_virtual,no
428,86,_downloadable,no
429,86,_download_limit,-1
430,86,_download_expiry,-1
431,86,_stock,
432,86,_stock_status,instock
433,86,_wc_average_rating,0
434,86,_wc_review_count,0
435,86,_product_attributes,"a:1:{s:7:""storlek"";a:6:{s:4:""name"";s:7:""storlek"";s:5:""value"";s:4:""500g"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:0;}}"
436,86,_product_version,8.8.2
437,87,_variation_description,
438,87,total_sales,0
439,87,_tax_status,taxable
440,87,_tax_class,parent
441,87,_manage_stock,no
442,87,_backorders,no
443,87,_sold_individually,no
444,87,_virtual,no
445,87,_downloadable,no
446,87,_download_limit,-1
447,87,_download_expiry,-1
448,87,_stock,
449,87,_stock_status,instock
450,87,_wc_average_rating,0
451,87,_wc_review_count,0
452,87,attribute_storlek,500g
453,87,_product_version,8.8.2
454,87,_regular_price,99
455,87,_sale_price,89
456,87,_thumbnail_id,0
457,87,_price,89
458,86,_price,89
459,88,_wp_attached_file,2024/05/3-1.png
460,88,_wp_attachment_metadata,"a:6:{s:5:""width"";i:500;s:6:""height"";i:500;s:4:""file"";s:15:""2024/05/3-1.png"";s:8:""filesize"";i:134447;s:5:""sizes"";a:5:{s:6:""medium"";a:5:{s:4:""file"";s:15:""3-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:51425;}s:9:""thumbnail"";a:5:{s:4:""file"";s:15:""3-1-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:15370;}s:21:""woocommerce_thumbnail"";a:6:{s:4:""file"";s:15:""3-1-300x300.png"";s:5:""width"";i:300;s:6:""height"";i:300;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:51425;s:9:""uncropped"";b:0;}s:29:""woocommerce_gallery_thumbnail"";a:5:{s:4:""file"";s:15:""3-1-100x100.png"";s:5:""width"";i:100;s:6:""height"";i:100;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:7800;}s:29:""woocommerce_thumbnail_preview"";a:5:{s:4:""file"";s:15:""3-1-300x225.png"";s:5:""width"";i:300;s:6:""height"";i:225;s:9:""mime-type"";s:9:""image/png"";s:8:""filesize"";i:50875;}}s:10:""image_meta"";a:12:{s:8:""aperture"";s:1:""0"";s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";s:1:""0"";s:9:""copyright"";s:0:"""";s:12:""focal_length"";s:1:""0"";s:3:""iso"";s:1:""0"";s:13:""shutter_speed"";s:1:""0"";s:5:""title"";s:0:"""";s:11:""orientation"";s:1:""0"";s:8:""keywords"";a:0:{}}}"
461,86,_thumbnail_id,88
462,89,_edit_last,1
463,89,_edit_lock,1715069119:1
464,90,_wp_attached_file,2024/05/45-1.png
